"year","region_id","region_name","region_ons_code","link_length_km","link_length_miles","pedal_cycles","two_wheeled_motor_vehicles","cars_and_taxis","buses_and_coaches","LGVs","all_HGVs","all_motor_vehicles"
2002,3,"Scotland","S92000003",59405,36913,155300000,181500000,2.0584e+10,391200000,3000100000,1496300000,25653200000
2002,4,"Wales","W92000004",33080,20555,84600000,141600000,13023900000,171400000,1922700000,777900000,16037600000
2002,5,"North West","E12000002",36699,22804,273600000,265300000,27287900000,353800000,3531800000,2115500000,33554400000
2002,6,"London","E12000007",14679,9121,3.12e+08,471400000,16689500000,331600000,2253500000,669500000,20415500000
2002,7,"East of England","E12000006",39351,24452,409900000,356500000,26451300000,298900000,3925100000,2145700000,33177400000
2002,8,"Yorkshire and The Humber","E12000003",31700,19697,256300000,227900000,19654800000,260500000,2974200000,1823500000,24940900000
2002,9,"South East","E12000008",47492,29510,477600000,548900000,42867500000,403900000,5649200000,2579800000,52049300000
2002,10,"West Midlands","E12000005",32404,20135,213800000,233100000,23461200000,316600000,3304900000,1942900000,29258700000
2002,11,"North East","E12000001",16103,10006,98900000,81800000,9530700000,185300000,1261800000,521500000,11581100000
2003,1,"South West","E12000009",49629,30838,246100000,426800000,23835400000,289400000,3481200000,1523900000,29556600000
2003,2,"East Midlands","E12000004",31260,19424,222600000,264700000,19560500000,216500000,3041200000,1978900000,25061900000
2003,3,"Scotland","S92000003",59489,36965,154700000,203500000,20647100000,401600000,3.154e+09,1560100000,25966200000
2003,4,"Wales","W92000004",33132,20587,85200000,151200000,1.3099e+10,176600000,2012700000,767500000,1.6207e+10
2003,5,"North West","E12000002",36778,22853,276700000,2.94e+08,27173700000,359400000,3727100000,2132200000,33686400000
2003,6,"London","E12000007",14713,9142,3.37e+08,533100000,16445300000,361600000,2434500000,673600000,20448100000
2003,7,"East of England","E12000006",39423,24496,414400000,382200000,26457600000,306700000,4052800000,2.15e+09,33349300000
2003,8,"Yorkshire and The Humber","E12000003",31762,19736,261100000,251300000,19626200000,268700000,3107800000,1.831e+09,25084900000
2003,9,"South East","E12000008",47587,29569,489300000,594300000,42441800000,404300000,5878400000,2585800000,51904600000
2003,10,"West Midlands","E12000005",32438,20156,216600000,257500000,23225900000,325100000,3463700000,1951200000,29223400000
2003,11,"North East","E12000001",16132,10024,1e+08,88200000,9438500000,193200000,1309500000,523500000,11552900000
2004,1,"South West","E12000009",49299,30633,228100000,398700000,24119300000,275300000,3686500000,1551400000,30031300000
2004,2,"East Midlands","E12000004",30790,19132,204200000,243700000,19816400000,213100000,3206100000,2062500000,25541800000
2004,3,"Scotland","S92000003",56715,35241,137300000,188400000,20609600000,358200000,3235500000,1617100000,26008900000
2004,4,"Wales","W92000004",33179,20616,79800000,141100000,13393500000,166700000,2108700000,793900000,16603800000
2004,5,"North West","E12000002",36447,22647,253400000,260600000,27519900000,3.45e+08,3907200000,2201600000,34234300000
2004,6,"London","E12000007",14681,9122,324400000,498400000,16383700000,372400000,2428700000,680400000,20363500000
2004,7,"East of England","E12000006",39189,24351,384900000,347100000,26663500000,291400000,4276200000,2217400000,33795500000
2004,8,"Yorkshire and The Humber","E12000003",31855,19794,240200000,2.29e+08,1.9984e+10,262300000,3318800000,1896100000,25690300000
2004,9,"South East","E12000008",47291,29385,449300000,533600000,42446700000,390100000,6124400000,2644100000,52138900000
2004,10,"West Midlands","E12000005",32392,20127,200800000,229800000,23538400000,317200000,3630200000,2012900000,29728500000
2004,11,"North East","E12000001",15836,9840,92500000,80600000,9410300000,181800000,1373300000,522600000,11568800000
2005,1,"South West","E12000009",49215,30581,238200000,426100000,24521800000,273600000,3.855e+09,1.551e+09,30627500000
2005,2,"East Midlands","E12000004",30858,19174,2.14e+08,251900000,19841700000,208800000,3240800000,2054500000,25597700000
2005,3,"Scotland","S92000003",56863,35333,1.44e+08,190200000,20511500000,354400000,3346900000,1632100000,2.6035e+10
2005,4,"Wales","W92000004",33233,20650,84100000,149300000,13240500000,165100000,2167200000,795100000,16517200000
2005,5,"North West","E12000002",36531,22699,261500000,274200000,27219100000,3.45e+08,3.971e+09,2182100000,33991400000
2005,6,"London","E12000007",14741,9160,365200000,521500000,16355500000,374100000,2483300000,688300000,20422700000
2005,7,"East of England","E12000006",39136,24318,402800000,365400000,26485900000,283900000,4.42e+09,2165600000,33720800000
2005,8,"Yorkshire and The Humber","E12000003",31907,19826,2.49e+08,245400000,19985500000,2.6e+08,3440500000,1874900000,25806400000
2005,9,"South East","E12000008",47242,29355,468500000,564500000,42004400000,376500000,6258400000,2596500000,51800300000
2005,10,"West Midlands","E12000005",32439,20157,210900000,241200000,23594700000,315600000,3763900000,1956500000,29871800000
2005,11,"North East","E12000001",15840,9843,96200000,82600000,9291400000,175400000,1395700000,5.08e+08,11453100000
2006,1,"South West","E12000009",49943,31033,249200000,402800000,25085200000,293300000,4014900000,1532200000,31328600000
2006,2,"East Midlands","E12000004",31257,19422,223300000,236600000,20178700000,218500000,3336300000,2082500000,26052600000
2006,3,"Scotland","S92000003",59499,36971,1.54e+08,183500000,21086800000,368100000,3527500000,1682400000,26848200000
2006,4,"Wales","W92000004",33847,21032,87700000,142800000,13528600000,174900000,2249600000,7.91e+08,16886800000
2006,5,"North West","E12000002",36881,22917,273200000,256500000,27381800000,354500000,4118600000,2184400000,34295700000
2006,6,"London","E12000007",14746,9163,392600000,533100000,16333900000,400300000,2.743e+09,671300000,20681700000
2006,7,"East of England","E12000006",39800,24731,419100000,345900000,26769400000,296200000,4577700000,2164800000,34154100000
2006,8,"Yorkshire and The Humber","E12000003",32107,19950,258800000,231800000,20336300000,269300000,3576200000,1895600000,26309300000
2006,9,"South East","E12000008",47408,29458,485700000,5.3e+08,42108800000,396400000,6446900000,2603600000,52085800000
2006,10,"West Midlands","E12000005",32739,20343,218700000,227200000,23842600000,316500000,3859600000,1962900000,30208800000
2006,11,"North East","E12000001",16156,10039,99600000,77900000,9331900000,169400000,1439500000,502900000,11521600000
2007,1,"South West","E12000009",50063,31108,229400000,4.39e+08,2.5202e+10,304600000,4264600000,1565800000,3.1776e+10
2007,2,"East Midlands","E12000004",31204,19389,203200000,256600000,20293400000,2.25e+08,3514600000,2097200000,26386900000
2007,3,"Scotland","S92000003",59578,37020,141800000,197500000,21129100000,392900000,3751300000,1720200000,2.7191e+10
2007,4,"Wales","W92000004",33861,21040,80900000,151500000,13601500000,178700000,2348200000,810100000,1.709e+10
2007,5,"North West","E12000002",36913,22937,248200000,270500000,27362200000,353400000,4258700000,2.186e+09,34430800000
2007,6,"London","E12000007",14784,9186,364100000,569400000,16185100000,403100000,2823300000,660500000,20641400000
2007,7,"East of England","E12000006",39943,24819,383500000,365700000,26955400000,308600000,4.884e+09,2177800000,34691500000
2007,8,"Yorkshire and The Humber","E12000003",32135,19968,235500000,250100000,2.0435e+10,2.78e+08,3756500000,1900400000,26620100000
2007,9,"South East","E12000008",47422,29467,444600000,560200000,42045800000,384800000,6.69e+09,2633400000,52314200000
2007,10,"West Midlands","E12000005",32772,20364,199700000,246500000,23956400000,325200000,4039100000,1969800000,3.0537e+10
2007,11,"North East","E12000001",16196,10064,91200000,84600000,9331400000,176500000,1522900000,500200000,11615500000
2008,1,"South West","E12000009",49985,31059,259500000,420300000,25529900000,291500000,4351500000,1515800000,32109100000
2008,2,"East Midlands","E12000004",31221,19400,228500000,240100000,20135100000,209700000,3530400000,2010400000,26125700000
2008,3,"Scotland","S92000003",59642,37060,161400000,191400000,21016500000,381500000,3763200000,1701700000,27054300000
2008,4,"Wales","W92000004",33858,21038,91700000,145300000,13532500000,170500000,2366700000,797100000,17012200000
2008,5,"North West","E12000002",36901,22929,282900000,248500000,27180600000,324200000,4189700000,2200100000,34143100000
2008,6,"London","E12000007",14796,9194,385900000,493800000,16003800000,3.89e+08,2678700000,668100000,20233400000
2008,7,"East of England","E12000006",39653,24639,4.26e+08,337100000,26835100000,279900000,4.918e+09,2103600000,34473700000
